,Code,Company,Sector
121,NWS.AX,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary
122,NXT.AX,NEXTDC Limited,Information Technology
123,OML.AX,Ooh!Media Limited,Consumer Discretionary
124,ORA.AX,Orora Limited,Materials
125,ORE.AX,Orocobre Limited,Materials
126,ORG.AX,Origin Energy,Energy
127,ORI.AX,Orica Limited,Materials
128,OSH.AX,Oil Search Limited 10 Toea,Energy
129,OZL.AX,OZ Minerals,Materials
130,PDL.AX,Pendal Group Limited,Financials
131,PGH.AX,Pact Group Holdings Limited,Materials
132,PLS.AX,Pilbara Min Limited,Materials
133,PME.AX,Pro Medicus Limited,Health Care
134,PMV.AX,Premier Investments,Consumer Discretionary
135,PNI.AX,Pinnacle Investment,Financials
136,PPT.AX,Perpetual Limited,Financials
137,PTM.AX,Platinum Asset,Financials
138,QAN.AX,Qantas Airways,Industrials
139,QBE.AX,QBE Insurance Group,Financials
140,QUB.AX,QUBE Holdings Limited,Industrials
141,REA.AX,REA Group,Information Technology
142,RHC.AX,Ramsay Health Care,Health Care
143,RIO.AX,RIO Tinto Limited,Materials
144,RMD.AX,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care
145,RRL.AX,Regis Resources,Materials
146,RSG.AX,Resolute Mining,Materials
147,RWC.AX,Reliance Worldwide,Industrials
148,S32.AX,SOUTH32 Limited,Materials
149,SAR.AX,Saracen Mineral,Materials
150,SBM.AX,ST Barbara Limited,Materials
151,SCG.AX,Scentre Group FP Ordinary/Units Stapled Securities,Real Estate
152,SCP.AX,Sca Property Group FP Units Stapled Securities,Real Estate
153,SDA.AX,Speedcast Int Limited,Telecommunication Services
154,SDF.AX,Steadfast Group Limited,Financials
155,SEK.AX,Seek Limited,Industrials
156,SFR.AX,Sandfire Resources,Materials
157,SGM.AX,Sims Metal MGMT Limited,Materials
158,SGP.AX,Stockland FP Ordinary/Units Stapled Securities,Real Estate
159,SGR.AX,The Star Ent Group,Consumer Discretionary
160,SHL.AX,Sonic Healthcare,Health Care
161,SIG.AX,Sigma Health Limited,Health Care
162,SIQ.AX,Smartgrp Corporation,Industrials
163,SKC.AX,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary
164,SKI.AX,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities
165,SOL.AX,Soul Pattinson (W.H),Energy
166,SPK.AX,Spark New Zealand Foreign Exempt NZX,Telecommunication Services
167,SSM.AX,Service Stream,Industrials
168,STO.AX,Santos Limited,Energy
169,SUL.AX,Super Ret Rep Limited,Consumer Discretionary
170,SUN.AX,Suncorp Group Limited,Financials
171,SVW.AX,Seven Group Holdings,Industrials
172,SXL.AX,STHN Cross Media,Consumer Discretionary
173,SYD.AX,SYD Airport FP Ordinary/Units Stapled Securities,Industrials
174,TAH.AX,Tabcorp Holdings Limited,Consumer Discretionary
175,TCL.AX,Transurban Group FP Ordinary/Units Stapled Securities,Industrials
176,TGR.AX,Tassal Group Limited,Consumer Staples
177,TLS.AX,Telstra Corporation,Telecommunication Services
178,TNE.AX,Technology One,Information Technology
179,TPM.AX,TPG Telecom Limited,Telecommunication Services
180,TWE.AX,Treasury Wine Estate,Consumer Staples
181,URW.AX,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate
182,VCX.AX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate
183,VEA.AX,Viva Energy Group,Energy
184,VOC.AX,Vocus Group Limited,Telecommunication Services
185,VVR.AX,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate
186,WBC.AX,Westpac Banking Corp,Financials
187,WEB.AX,Webjet Limited,Consumer Discretionary
188,WES.AX,Wesfarmers Limited,Consumer Discretionary
189,WHC.AX,Whitehaven Coal,Energy
190,WOR.AX,Worleyparsons Limited,Energy
191,WOW.AX,Woolworths Group Limited,Consumer Staples
192,WPL.AX,Woodside Petroleum,Energy
193,WSA.AX,Western Areas Limited,Materials
194,WTC.AX,Wisetech Global Limited,Information Technology
195,XRO.AX,Xero Limited,Information Technology
